city_id,city_name_nl,city_name_en,city_name_fr,city_name_de,province_or_region,count_boroughs,pop_in_2000,pop_in_2024,area_km2,pop_per_km2,prosperity_index,pop_increase_2024v2000_percent
178,Hoeselt,Hoeselt,Hoeselt,Hoeselt,Limburg,5,9133,10080,30.1,335,104.8,10.37
209,Beyne-Heusay,Beyne-Heusay,Beyne-Heusay,Beyne-Heusay,Luik,3,11661,12018,7.29,1649,87.9,3.06
301,Herbeumont,Herbeumont,Herbeumont,Herbeumont,Luxemburg,3,1434,1750,58.42,30,92.9,22.04
331,Assesse,Assesse,Assesse,Assesse,Namen,7,5992,7325,78.53,93,107.7,22.25
360,Sambreville,Sambreville,Sambreville,Sambreville,Namen,7,27197,28615,34.27,835,87.5,5.21
442,Galmaarden,Galmaarden,Gammerages,Galmaarden,Vlaams-Brabant,3,7741,8931,35.29,253,114.8,15.37
537,Hooglede,Hooglede,Hooglede,Hooglede,West-Vlaanderen,2,9750,10235,38.11,269,104.3,4.97
558,Middelkerke,Middelkerke,Middelkerke,Middelkerke,West-Vlaanderen,9,16583,19855,79.04,251,106.6,19.73
567,Roeselare,Roeselare,Roulers,Roeselare,West-Vlaanderen,4,54199,66262,60.4,1097,99.9,22.26
579,Wingene,Wingene,Wingene,Wingene,West-Vlaanderen,2,12517,15161,68.54,221,102.4,21.12
581,Zonnebeke,Zonnebeke,Zonnebeke,Zonnebeke,West-Vlaanderen,5,11545,12705,68.09,187,98.8,10.05
9,Bonheiden,Bonheiden,Bonheiden,Bonheiden,Antwerpen,2,14089,15454,29.19,529,137.1,9.69
96,Bernissart,Bernissart,Bernissart,Bernissart,Henegouwen,5,11433,11878,43.81,271,91.4,3.89
241,Jalhay,Jalhay,Jalhay,Jalhay,Luik,2,7497,8777,106.94,82,114.0,17.07
356,Onhaye,Onhaye,Onhaye,Onhaye,Namen,7,3011,3231,65.67,49,95.0,7.31
362,Somme-Leuze,Somme-Leuze,Somme-Leuze,Somme-Leuze,Namen,9,4170,6099,95.23,64,94.5,46.26
422,Wortegem-Petegem,Wortegem-Petegem,Wortegem-Petegem,Wortegem-Petegem,Oost-Vlaanderen,5,6071,6552,42.47,154,118.7,7.92
483,Tervuren,Tervuren,Tervuren,Tervuren,Vlaams-Brabant,3,20181,23077,33.62,686,128.5,14.35
510,Perwijs,Perwez,Perwez,Perwez,Waals-Brabant,5,7057,9704,51.17,190,112.9,37.51
6,Beerse,Beerse,Beerse,Beerse,Antwerpen,2,15698,18601,37.36,498,111.6,18.49
14,Brecht,Brecht,Brecht,Brecht,Antwerpen,3,25091,30610,91.46,335,114.2,22.0
